scaffold1,scaffold2,connections
14480,18269,5
13857,77810,5
21891,67046,7
26974,5239,4
1496,4262,2
116236,716,20
1549,3554,2
1093,36388,3
10672,30692,2
131154,354,20
1741,746,2
119489,774,2
87863,9715,4
106363,497,21
1642,19342,199
36600,6313,2
15342,6011,2
14055,71374,3
24147,48945,3
36361,79917,7
42891,65759,2
4348,8077,4
102413,5340,10
748,774,2
31883,5992,7
20944,33915,3
29137,73960,4
76942,997,2
129216,45117,2
5218,67686,12
4371,53759,2
2696,6662,27
118952,9198,2
3701,3842,2
285,82769,4
117704,47694,9
114502,17815,3
107881,109836,21
107434,35243,4
121981,2810,3
3014,4594,5
11893,40160,4
17519,88640,2
2388,658,13
55896,8245,12
100845,2038,10
532,67553,12
622,89,5
119489,186,3
36189,79928,3
17269,38425,2
15024,17190,3
16828,9905,4
3376,77915,2
174,59306,5
49383,62898,5
66193,81057,4
1116,52666,9
14665,3993,9
14075,20065,14
2153,36214,5
82354,88624,2
121786,21478,2
55516,74397,3
103788,85296,6
1791,4731,4
63611,74917,2
31511,3266,2
36887,65228,3
105722,63866,6
111996,87636,24
2785,64005,2
40446,7783,6
1110,886,2
17151,7054,2
123351,21408,2
11503,40980,2
1678,95942,3
1021,11256,3
3190,43048,2
11382,8270,2
58673,9150,4
117324,71375,5
21138,30327,3
5997,83067,5
149,312,2
3479,38135,7
103158,310,123
1803,306,3
36274,43117,3
11268,18296,2
17261,3295,2
16855,92021,24
101960,37329,5
21521,7980,2
130130,70921,2
19916,30205,2
264,416,2
111195,113011,2
591,74481,67
39788,6705,6
19342,310,2
44699,62898,2
131154,9938,3
1838,4207,2
17087,20832,2
297,41,11
16741,25380,2
101007,37420,2
29001,6332,3
1765,69189,7
11527,123353,11
2303,40266,2
10789,36883,2
26908,47166,14
5,82078,4
10157,131357,2
19402,43446,2
574,74396,14
17498,2331,2
14431,9007,3
3553,94562,13
121407,19408,2
3517,8375,2
2366,46026,4
177,2554,7
5340,99882,6
11699,41547,5
1598,29537,3
64137,86855,3
23687,87863,2
1068,119123,57
100710,32281,2
230,26523,2
22913,87864,2
26,31604,31
35664,9210,2
19264,5399,2
1088,74571,12
16467,178,9
1348,53692,147
100710,91665,2
13423,46117,13
18387,975,17
123753,36625,3
5987,9059,2
128,41508,14
52709,76,41
935,999,2
125744,2290,8
21877,5968,2
58855,99084,2
10778,13706,2
2655,3832,2
25045,80653,2
133107,59376,2
17701,72776,2
3016,76299,19
11006,216,10
10521,64248,16
130114,26743,2
64431,76740,17
1403,14066,7
10998,11682,4
11292,44228,4
53700,62709,6
640,94692,18
2712,73704,5
16071,91277,3
131356,5461,5
22066,8544,3
11594,6131,2
126351,70138,12
3760,46026,4
108322,603,31
2475,61435,3
3781,909,3
30383,31086,2
8473,964,2
20820,457,2
16275,22573,5
122531,33989,2
111997,49320,2
11839,21468,47
12809,45565,2
116236,12,33
106364,935,8
111194,17918,18
218,3951,6
350,71375,3
33280,95596,4
1118,492,6
5127,75945,2
18763,2665,3
289,76206,129
1438,80265,9
37477,62214,3
62149,97503,3
125744,14255,10
26997,7173,3
16021,3651,2
76120,92640,2
68689,7312,4
100988,87768,2
19342,319,141
45960,83273,6
5813,60333,10
3544,42725,2
15517,3491,9
131154,497,3
18063,3779,2
27298,4923,16
1049,559,13
25453,32259,7
37232,72130,2
19100,83806,2
15414,22600,2
35007,52584,2
68536,6947,4
39921,80274,3
34901,86,18
6843,9199,6
1118,95,18
18041,32954,19
11861,38052,3
53529,81453,2
135352,942,32
75428,81982,3
51934,7498,4
25059,46524,3
3553,999,8
110666,13198,2
1928,4264,2
33780,47465,3
33953,72131,6
29148,76299,4
1741,80,2
1314,5139,6
119123,437,15
81244,88991,3
58855,79456,2
583,59448,2
13441,4564,4
5822,7998,3
15491,36388,2
116236,59729,6
1356,2840,9
101533,106658,2
24684,59620,2
3100,59555,3
31366,69435,2
110475,1553,16
5148,816,13
65825,89780,2
13785,7263,7
43900,564,24
54112,93510,3
2149,82444,11
282,54,3
131789,70076,8
229,7277,2
130,846,2
3121,76648,14
3048,46026,5
4593,5229,4
114502,34619,3
1038,70292,2
18492,73946,7
106658,93135,2
1589,1800,7
4225,5705,2
127780,22487,2
150,94692,7
7458,95585,2
22388,57027,4
104075,7648,3
1518,55354,4
17298,2880,35
27277,42163,2
27238,72780,2
1703,3033,13
11682,13580,2
14485,59611,11
106363,136,2
45248,87096,3
416,53008,2
176,99209,82
14909,26244,2
6789,8778,2
2011,33891,5
24803,56782,5
15722,92519,4
554,82769,15
3409,66746,9
23056,25578,2
2218,65209,4
129896,94224,7
6424,71463,2
7666,9455,9
40980,856,2
115389,8759,3
147,43867,39
19009,98696,2
31202,84780,3
131356,415,4
1932,61202,2
3567,6310,3
108322,3305,7
12414,6946,3
22913,75348,3
20251,8385,6
132433,35336,2
15746,9865,2
106658,44699,4
5179,68841,18
43533,89995,2
101389,709,2
47694,99084,2
1089,129032,3
101533,36274,3
2860,41,5
2927,33614,9
26429,877,2
10378,2381,2
34058,38371,2
5808,7838,2
464,57615,2
4886,6963,8
61830,95610,2
1129,1944,2
17132,6902,2
135,89431,2
14524,21919,2
417,66056,4
100988,57090,2
16768,68536,2
130112,80847,2
74396,975,5
1129,94692,11
285,557,8
13173,98020,2
42724,76302,4
63725,8804,14
1219,224,23
1004,38,13
11545,950,17
50574,67554,3
111195,41547,2
4986,87637,26
42502,56232,5
121981,41007,5
1943,3202,2
129470,39633,2
2694,7020,4
26502,92767,2
1985,76649,3
34180,4581,2
13759,488,7
81622,94224,6
2987,4638,3
2318,44066,2
3157,331,20
17809,38937,9
77033,832,5
18987,23782,6
1362,69676,129
22683,64608,3
1002,62555,4
105427,6121,4
38426,58805,2
132642,15100,2
11654,49570,4
2453,6647,2
10123,66061,4
17530,36705,5
18245,36621,2
14448,6921,3
2699,580,20
21761,522,2
42262,73956,2
25649,9325,3
54399,87636,4
