scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
7922	Proteobacteria	1	Proteobacteria	NA	NA
2161	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
13168	Proteobacteria	1	Proteobacteria	NA	NA
295	Chloroflexi <phylum>	1	Chloroflexi <phylum>	Anaerolineae	Anaerolineae
627	Chloroflexi <phylum>	2	Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae
61090	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;NA
162	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
9025	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;Gammaproteobacteria
6969	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
8666	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria
14042	Chloroflexi <phylum>	3	NA;Chloroflexi <phylum>;NA	Anaerolineae	NA;Anaerolineae;NA
4685	Chloroflexi <phylum>	1	Chloroflexi <phylum>	Caldilineae	Caldilineae
54	Chloroflexi <phylum>	6	Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae
39184	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	delta/epsilon subdivisions	delta/epsilon subdivisions;delta/epsilon subdivisions;delta/epsilon subdivisions
14233	Fibrobacteres/Acidobacteria group	1	Fibrobacteres/Acidobacteria group	Acidobacteria	Acidobacteria
1012	Chloroflexi <phylum>	2	Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae
967	Chlamydiae/Verrucomicrobia group	1	Chlamydiae/Verrucomicrobia group	Verrucomicrobia	Verrucomicrobia
9356	Proteobacteria	5	NA;NA;Proteobacteria;NA;Proteobacteria	delta/epsilon subdivisions	NA;NA;delta/epsilon subdivisions;NA;delta/epsilon subdivisions
5928	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;Gammaproteobacteria
105	Chloroflexi <phylum>	3	Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae;Anaerolineae
2271	Planctomycetes	1	Planctomycetes	Planctomycetia	Planctomycetia
