GeneID	BRO_1_ANAMMOX	BRO_2_ANAMMOX	BRO_1_SP_ELECTRODE	BRO_2_SP_ELECTRODE
PROKKA_110396	102	176	81	130
PROKKA_110397	359	570	200	226
PROKKA_110398	304	497	175	366
PROKKA_110399	368	621	235	313
PROKKA_110400	287957	905566	1312554	428304
PROKKA_110401	2459	4819	4248	8564
PROKKA_110402	80	102	22	91
PROKKA_110403	823	1350	275	422
PROKKA_110404	111	220	66	133
PROKKA_110405	244	332	49	74
PROKKA_110406	55	59	33	95
PROKKA_125210	1021	2115	937	912
PROKKA_125211	3271	5826	1321	1515
PROKKA_125212	705	1490	109	109
PROKKA_125213	153	197	12	33
PROKKA_125214	1105	2246	290	319
PROKKA_125215	443	688	443	625
PROKKA_138235	433	903	208	168
PROKKA_138236	15	6	3	17
PROKKA_138237	79	116	21	33
PROKKA_138238	29	35	29	61
PROKKA_138239	3599	5863	337	739
PROKKA_15174	7199	11383	4044	2967
PROKKA_15175	616	1070	79	92
PROKKA_15176	180	310	25	34
PROKKA_15177	33632	63452	31395	25770
PROKKA_15178	292	454	177	596
PROKKA_15179	161	292	55	81
PROKKA_15180	986	1702	200	319
PROKKA_15181	358	527	114	349
PROKKA_15182	1789	2891	357	419
PROKKA_15183	143	236	106	126
PROKKA_15184	325	533	77	78
PROKKA_15185	1766	3393	356	416
PROKKA_15186	374	794	116	110
PROKKA_15187	49	76	23	15
PROKKA_15188	46	43	13	37
PROKKA_15189	50	114	18	28
PROKKA_15190	90	145	21	45
PROKKA_15191	24	47	7	10
PROKKA_15192	108	144	2	10
PROKKA_15193	4044	7408	480	473
PROKKA_15194	263	398	147	213
PROKKA_15195	521	943	148	204
PROKKA_15196	757	1276	96	109
PROKKA_15197	152	283	55	98
PROKKA_15198	74	177	29	71
PROKKA_15199	599	1018	289	405
PROKKA_15200	136	234	47	136
PROKKA_15201	910	1609	295	277
PROKKA_15202	438	734	277	450
PROKKA_15203	1081	1930	217	396
PROKKA_15204	5712	10196	1866	2137
PROKKA_15205	207	396	54	71
PROKKA_15206	342	803	113	136
PROKKA_15207	18	40	18	18
PROKKA_15208	43	66	26	39
PROKKA_15209	265	387	52	90
PROKKA_15210	69	109	15	33
PROKKA_15211	33	54	2	21
PROKKA_15212	64	110	25	44
PROKKA_15213	7	20	7	6
PROKKA_15214	54	71	16	36
PROKKA_15215	36	58	16	21
PROKKA_15216	17	18	7	12
PROKKA_15217	15	23	24	20
PROKKA_15218	1956	3852	1063	796
PROKKA_15219	93	156	25	32
PROKKA_15220	561	904	128	178
PROKKA_15221	287	396	31	85
PROKKA_15222	751	1236	40	83
PROKKA_15223	3064	4593	470	805
PROKKA_15224	109	229	21	43
PROKKA_15225	120	195	42	57
PROKKA_15226	28	19	14	32
PROKKA_15227	4	3	4	8
PROKKA_15228	35	27	25	35
PROKKA_15229	119	217	17	45
PROKKA_15230	156	323	25	34
PROKKA_15231	507	907	94	114
PROKKA_15232	546	960	87	152
PROKKA_15233	494	699	165	379
PROKKA_15234	76	115	13	17
PROKKA_15235	255	427	45	80
PROKKA_15236	129	270	21	47
PROKKA_15237	50	95	105	408
PROKKA_15238	222	397	54	103
PROKKA_15239	301	648	103	245
PROKKA_15240	10	6	2	7
PROKKA_15241	168	274	105	102
PROKKA_15242	24	37	7	23
PROKKA_15243	522	938	131	227
PROKKA_15244	188	320	95	81
PROKKA_15245	330	545	61	71
PROKKA_15246	267	426	59	46
PROKKA_15247	509	829	99	147
PROKKA_15248	293	585	75	126
PROKKA_15249	400	748	76	73
PROKKA_15250	103	227	31	27
PROKKA_15251	385	648	316	315
PROKKA_15252	63	120	27	48
PROKKA_15253	105	177	19	38
PROKKA_15254	58	90	25	29
PROKKA_15255	109	216	32	41
PROKKA_15256	181	306	39	61
PROKKA_15257	172	307	28	27
PROKKA_15258	39	36	10	25
PROKKA_15259	19	24	4	2
PROKKA_15260	234	417	93	157
PROKKA_15261	99	180	27	53
PROKKA_15262	147	236	64	80
PROKKA_15263	38	75	1	9
PROKKA_15264	115	190	7	9
PROKKA_15265	326	503	42	60
PROKKA_15266	54	68	41	67
PROKKA_15267	313	577	182	252
PROKKA_15268	96	170	43	92
PROKKA_15269	61	96	35	47
PROKKA_15270	90	144	22	27
PROKKA_15272	163	239	10	18
PROKKA_15273	93	77	6	20
PROKKA_15274	383	658	173	354
PROKKA_15275	53	122	25	41
PROKKA_15276	69	152	28	55
PROKKA_15278	70	141	13	30
PROKKA_15279	251	490	139	152
PROKKA_15280	116	180	18	41
PROKKA_15281	150	243	22	43
PROKKA_15282	801	1325	224	234
PROKKA_15283	67	83	17	42
PROKKA_15284	58	89	56	77
PROKKA_15285	1587	3237	1576	939
PROKKA_15286	308	451	118	111
PROKKA_15287	631	1103	195	214
PROKKA_15288	1355	2264	466	666
PROKKA_15289	28	35	16	18
PROKKA_15290	410	698	30	85
PROKKA_15291	201	326	20	19
PROKKA_15292	227	375	10	25
PROKKA_15293	557	1017	58	47
PROKKA_15294	75	205	5	11
PROKKA_15295	150	243	3	16
PROKKA_15296	97	187	55	43
PROKKA_15297	120	197	71	105
PROKKA_15298	22	20	4	10
PROKKA_15299	65	100	7	22
PROKKA_15302	86	129	31	49
PROKKA_15303	423	622	135	153
PROKKA_15304	987	1931	538	750
PROKKA_15305	23	53	6	9
PROKKA_15306	69	128	18	19
PROKKA_15307	82	113	21	41
PROKKA_15308	102	142	29	45
PROKKA_15309	1212	2276	609	733
PROKKA_15310	132	203	26	66
PROKKA_15311	18	15	4	7
PROKKA_15312	79	48	13	48
PROKKA_15313	1834	2896	1281	1297
PROKKA_15315	89	126	9	30
PROKKA_15316	109	185	35	61
PROKKA_15317	27	36	7	11
PROKKA_15318	90	127	46	119
PROKKA_15320	39	48	33	37
PROKKA_15321	14	18	5	11
PROKKA_15322	253	368	67	140
PROKKA_15323	208	296	20	49
PROKKA_15324	170	285	15	38
PROKKA_15325	81	145	22	39
PROKKA_15326	378	596	44	86
PROKKA_15327	226	489	59	138
PROKKA_15328	152	304	35	90
PROKKA_15329	117	213	52	100
PROKKA_15330	697	1311	254	185
PROKKA_15331	305	526	83	100
PROKKA_15332	126	245	42	58
PROKKA_15333	747	1594	519	467
PROKKA_15334	79	159	41	99
PROKKA_15335	91	187	33	59
PROKKA_15336	80	78	12	39
PROKKA_15337	33	36	15	33
PROKKA_15338	196	335	618	1858
PROKKA_15339	97	130	27	51
PROKKA_15340	93	140	20	24
PROKKA_15341	227	423	108	166
PROKKA_15342	84	136	9	39
PROKKA_15343	57	120	4	24
PROKKA_15344	571	1026	101	116
PROKKA_15345	1143	1997	149	170
PROKKA_15346	466	957	60	45
PROKKA_15347	302	727	70	106
PROKKA_15348	30	43	5	3
PROKKA_15349	124	203	30	43
PROKKA_15351	178	307	69	91
PROKKA_15352	198	221	28	99
PROKKA_15353	18	27	4	11
PROKKA_15354	182	243	37	78
PROKKA_15355	35	62	4	13
PROKKA_15356	408	746	97	106
PROKKA_15357	112	219	51	93
PROKKA_15358	175	348	97	110
PROKKA_15359	53	117	22	35
PROKKA_15360	357	551	198	337
PROKKA_15361	611	1072	251	418
PROKKA_15362	191	332	68	118
PROKKA_15363	111	245	39	73
PROKKA_15364	1433	2745	749	897
PROKKA_15365	258	384	62	102
PROKKA_15366	374	601	101	104
PROKKA_15367	178	360	70	50
PROKKA_15368	431	845	165	178
PROKKA_15369	104	198	15	23
PROKKA_15370	824	1420	134	149
PROKKA_15371	161	320	70	110
PROKKA_15372	107	165	23	55
PROKKA_15373	166	269	25	39
PROKKA_15374	225	311	34	56
PROKKA_15375	79	138	12	27
PROKKA_15376	554	887	130	188
PROKKA_15377	156	292	20	35
PROKKA_15378	244	355	130	159
PROKKA_15379	430	639	357	522
PROKKA_15380	26	44	7	16
PROKKA_15381	146	217	49	62
PROKKA_15382	1456	2722	1013	850
PROKKA_15383	1098	1973	401	314
PROKKA_15384	68	120	38	35
PROKKA_15385	264	469	156	190
PROKKA_15387	272	563	128	245
PROKKA_15388	409	687	209	230
PROKKA_15389	109	121	33	52
PROKKA_15390	157	216	33	51
PROKKA_15391	348	605	72	123
PROKKA_15392	352	643	94	193
PROKKA_15393	103	164	47	74
PROKKA_15394	303	309	40	91
PROKKA_15395	7	5	2	1
PROKKA_15396	12	5	1	8
PROKKA_15397	144	222	44	95
PROKKA_15398	54	90	72	77
PROKKA_15399	52	51	8	19
PROKKA_15400	45	59	11	14
PROKKA_15401	76	110	40	42
PROKKA_15402	147	263	51	84
PROKKA_15403	470	650	137	185
PROKKA_15404	34	74	5	19
PROKKA_15405	58	83	10	33
PROKKA_15406	152	207	20	27
PROKKA_15407	335	454	27	82
PROKKA_15408	58	91	12	41
PROKKA_15409	207	321	136	436
PROKKA_15410	109	256	160	210
PROKKA_15411	462	693	513	1057
PROKKA_15412	713	1496	118	232
PROKKA_15413	339	587	172	238
PROKKA_15414	340	597	174	362
PROKKA_15415	172	303	77	75
PROKKA_15416	691	1277	98	166
PROKKA_15417	164	271	22	37
PROKKA_15418	30	31	1	7
PROKKA_15419	82	143	18	41
PROKKA_15420	143	235	18	38
PROKKA_15421	544	927	205	186
PROKKA_15422	17	12	6	22
PROKKA_15423	4	11	2	6
PROKKA_15424	47	54	40	72
PROKKA_15425	78	149	37	59
PROKKA_15426	1133	2312	355	398
PROKKA_15427	149	259	25	44
PROKKA_15428	73	114	14	17
PROKKA_15429	140	281	46	106
PROKKA_15430	45	119	5	29
PROKKA_15431	157	222	26	42
PROKKA_15432	458	801	140	236
PROKKA_15433	261	434	124	113
PROKKA_15434	61	103	9	15
PROKKA_15435	34	89	9	12
PROKKA_15436	510	821	125	216
PROKKA_15437	704	1213	213	348
PROKKA_15438	140	240	19	19
PROKKA_15439	140	238	57	54
PROKKA_15440	475	880	329	479
PROKKA_15441	566	1078	392	585
PROKKA_15442	135	275	134	257
PROKKA_15443	56	105	60	132
PROKKA_15444	166	261	65	104
PROKKA_15445	137	202	42	56
PROKKA_15446	34	38	10	39
PROKKA_15447	29	45	20	27
PROKKA_15449	21	22	5	7
PROKKA_15450	28	38	9	28
PROKKA_15451	134	221	30	76
PROKKA_15452	69	112	28	56
PROKKA_15453	198	357	76	119
PROKKA_15454	17	21	3	5
PROKKA_15455	10	28	5	17
PROKKA_15456	197	377	67	84
PROKKA_15457	157	270	28	34
PROKKA_15458	2420	4746	601	454
PROKKA_15459	137	217	79	81
PROKKA_15460	44	42	9	11
PROKKA_15461	123	174	41	45
PROKKA_15462	143	196	44	70
PROKKA_15463	428	728	148	197
PROKKA_15464	938	1582	297	374
PROKKA_15465	538	887	174	371
PROKKA_15466	3	10	18	16
PROKKA_15467	419	746	195	363
PROKKA_15468	199	341	75	47
PROKKA_15469	221	388	66	85
PROKKA_15470	169	257	40	47
PROKKA_15471	97	128	93	82
PROKKA_15472	103	160	47	61
PROKKA_15473	142	150	28	60
PROKKA_15474	169	209	46	46
PROKKA_15475	457	690	215	280
PROKKA_15476	14	27	14	23
PROKKA_15477	87	124	32	75
PROKKA_15478	160	280	26	42
PROKKA_15479	22	33	1	6
PROKKA_15480	72	135	6	13
PROKKA_15481	154	228	11	9
PROKKA_15482	1699	3101	1156	1519
PROKKA_15483	176	250	74	104
PROKKA_15484	325	452	149	216
PROKKA_15485	584	921	311	542
PROKKA_15486	867	1604	342	378
PROKKA_15487	1699	3135	429	522
PROKKA_15488	305	489	42	79
PROKKA_15489	309	490	77	222
PROKKA_15490	401	782	143	96
PROKKA_15491	338	621	101	78
PROKKA_15492	217	476	81	94
PROKKA_15493	31	57	29	25
PROKKA_15494	95	201	60	100
PROKKA_15495	93	184	34	57
PROKKA_15496	184	392	103	86
PROKKA_15497	345	603	134	195
PROKKA_15498	54	94	22	30
PROKKA_15499	39	44	12	31
PROKKA_15500	45	75	12	22
PROKKA_15501	192	240	67	100
PROKKA_15502	7	20	7	7
PROKKA_15503	16	34	10	22
PROKKA_15504	101	162	35	29
PROKKA_15505	346	529	49	120
PROKKA_15506	381	660	98	124
PROKKA_15507	115	233	38	91
PROKKA_15508	256	408	81	80
PROKKA_15509	93	172	22	43
PROKKA_15510	45	68	12	22
PROKKA_15511	286	437	78	82
PROKKA_15512	21	35	5	9
PROKKA_15513	19	21	4	13
PROKKA_15514	9	11	4	4
PROKKA_15515	387	627	131	204
PROKKA_15516	76	101	5	28
PROKKA_15517	14	10	4	9
PROKKA_15518	51	79	8	23
PROKKA_15519	41	62	10	19
PROKKA_15520	90	139	117	119
PROKKA_15521	93	145	173	234
PROKKA_15522	127	182	26	49
PROKKA_15523	58	76	15	24
PROKKA_15524	71	123	17	53
PROKKA_15525	111	190	27	76
PROKKA_15526	37	48	4	13
PROKKA_15527	94	158	25	39
PROKKA_15528	41	63	3	15
PROKKA_15529	76	113	13	30
PROKKA_15530	126	219	30	36
PROKKA_15531	29	43	4	7
PROKKA_15532	29	77	4	23
PROKKA_15533	4719	8825	1354	1023
PROKKA_15534	344	562	47	78
PROKKA_15535	33	66	38	48
PROKKA_15536	163	167	68	124
PROKKA_15537	306	518	49	199
PROKKA_155873	533	883	301	512
PROKKA_155874	55	86	12	14
PROKKA_155875	79	125	29	48
PROKKA_155876	47	86	20	27
PROKKA_168163	2744	4148	977	838
PROKKA_168164	2358	3566	910	743
PROKKA_168165	17576	36390	7665	5046
PROKKA_201538	56	88	14	14
PROKKA_20170	586	1152	314	287
PROKKA_20171	48	85	9	31
PROKKA_20172	24	50	9	12
PROKKA_20173	169	251	31	72
PROKKA_20174	184	307	39	70
PROKKA_20175	414	680	597	1023
PROKKA_20176	78	110	8	20
PROKKA_20177	52	44	2	37
PROKKA_20178	44	63	8	21
PROKKA_20179	461	9486	13897	5752
PROKKA_20182	391	573	144	208
PROKKA_20183	214	418	30	42
PROKKA_20184	77	104	29	90
PROKKA_20186	541	1008	345	591
PROKKA_20187	86	198	23	36
PROKKA_20188	189	421	116	91
PROKKA_20189	873	1768	910	882
PROKKA_20190	179	310	41	76
PROKKA_20191	329	540	100	154
PROKKA_20192	160	289	58	81
PROKKA_20193	616	1032	258	342
PROKKA_20194	752	1402	599	724
PROKKA_20195	62	155	47	63
PROKKA_20197	599	1132	138	297
PROKKA_20198	1110	2154	532	623
PROKKA_20199	392	613	163	178
PROKKA_20200	368	758	255	258
PROKKA_20201	63	103	38	42
PROKKA_20202	66	120	32	52
PROKKA_20203	25	21	4	10
PROKKA_20204	57	70	23	59
PROKKA_20205	15	23	7	7
PROKKA_20206	39	71	13	52
PROKKA_20207	21	17	6	9
PROKKA_20208	28	33	8	6
PROKKA_20209	345	626	46	81
PROKKA_20210	916	1686	525	391
PROKKA_20211	114	170	21	37
PROKKA_20212	19	60	5	2
PROKKA_20213	151	298	159	127
PROKKA_20214	20	34	11	21
PROKKA_20215	262	663	195	220
PROKKA_20216	832	1403	110	160
PROKKA_20217	853	1464	262	243
PROKKA_20218	224	467	65	70
PROKKA_20219	2489	4154	614	558
PROKKA_20220	72	116	4	21
PROKKA_20221	497	724	52	124
PROKKA_20222	152	278	11	20
PROKKA_20223	45	71	17	18
PROKKA_20224	227	320	116	160
PROKKA_20225	6	12	8	8
PROKKA_20226	27	37	3	10
PROKKA_20227	68	100	27	23
PROKKA_20228	262	415	137	151
PROKKA_20229	196	281	74	97
PROKKA_20230	1746	2760	501	439
PROKKA_20231	77	101	21	44
PROKKA_20232	229	443	197	337
PROKKA_20233	982	1659	993	1338
PROKKA_20234	238	384	64	104
PROKKA_20235	139	238	74	126
PROKKA_20236	45	87	22	29
PROKKA_20237	170	255	54	92
PROKKA_20238	90	138	33	57
PROKKA_20239	56	88	31	32
PROKKA_20240	359	512	97	226
PROKKA_20241	817	1475	224	375
PROKKA_20242	217	347	111	136
PROKKA_20243	141	248	29	63
PROKKA_20244	494	845	80	83
PROKKA_20245	472	889	144	184
PROKKA_20246	1243	2364	604	498
PROKKA_20247	77	86	14	13
PROKKA_20248	94	197	5	13
PROKKA_20249	203	426	26	40
PROKKA_20250	371	788	142	183
PROKKA_20251	79	146	9	12
