scaffold	orf	hmm.id
10055	4	PF00162.14
38833	1	PF00162.14
705	37	PF00162.14
29	38	PF00162.14
32734	3	PF00162.14
4257	4	PF00162.14
1292	20	PF00162.14
251	72	PF00162.14
74	145	PF00162.14
8	359	PF00162.14
1130	10	PF00162.14
45	207	PF00162.14
551	30	PF00162.14
63739	2	PF00162.14
1367	4	PF00162.14
656	2	PF00162.14
33	127	PF00162.14
431	20	PF00162.14
1431	13	PF00162.14
67563	2	PF00162.14
2599	2	PF00162.14
110	11	PF00162.14
915	25	PF00162.14
6	343	PF00162.14
1	2201	PF00162.14
4937	8	PF00162.14
330	63	PF00162.14
106	127	PF00162.14
2162	2	PF00162.14
1074	8	PF00162.14
24089	2	PF00162.14
1558	5	PF00162.14
548	27	PF00162.14
11063	3	PF00162.14
10527	4	PF00162.14
13817	4	PF00162.14
18809	3	PF00162.14
3991	6	PF00162.14
13	158	PF00162.14
702	42	PF00162.14
16308	3	PF00162.14
6854	2	PF00162.14
70528	1	PF00162.14
173	33	PF00162.14
3	249	PF00162.14
16045	3	PF00162.14
8781	3	PF00162.14
129457	1	PF00162.14
1679	12	PF00162.14
2567	5	PF00162.14
1171	1	PF00162.14
4	281	PF00162.14
26847	4	PF00162.14
48754	1	PF00162.14
88637	2	PF00162.14
361	5	PF00162.14
741	15	PF00162.14
55365	2	PF00162.14
48705	1	PF00162.14
3489	1	PF00162.14
138	38	PF00162.14
64083	2	PF00162.14
24534	1	PF00162.14
9785	5	PF00162.14
14158	1	PF00162.14
6141	1	PF00162.14
31496	1	PF00162.14
14318	6	PF00162.14
65147	1	PF00162.14
262	54	PF00276.15
7070	15	PF00276.15
65	186	PF00276.15
71302	2	PF00276.15
46	201	PF00276.15
906	21	PF00276.15
55727	2	PF00276.15
25929	5	PF00276.15
33319	5	PF00276.15
51808	2	PF00276.15
76	89	PF00276.15
1372	16	PF00276.15
91668	1	PF00276.15
32026	2	PF00276.15
5731	5	PF00276.15
5694	1	PF00276.15
7203	4	PF00276.15
9425	11	PF00276.15
943	8	PF00276.15
7632	11	PF00276.15
1614	18	PF00276.15
568	34	PF00276.15
8	90	PF00276.15
48	204	PF00276.15
1	670	PF00276.15
882	17	PF00276.15
4788	17	PF00276.15
3266	6	PF00276.15
6809	14	PF00276.15
482	61	PF00276.15
1356	5	PF00276.15
6	564	PF00276.15
28649	5	PF00276.15
16506	5	PF00276.15
2133	29	PF00276.15
4179	3	PF00276.15
3	1046	PF00276.15
138	97	PF00276.15
5654	4	PF00276.15
873	23	PF00276.15
61886	4	PF00276.15
324	22	PF00276.15
13771	6	PF00276.15
