Name,Average.coverage,Reference.length
1,0.015,3912784
2,0.006,1817676
3,0.004,1341881
4,13.715,1133936
5,36.822,1003836
6,0.033,773338
7,32.503,759631
8,37.032,734980
9,36.624,723808
10,0.002,648270
11,0.003,680754
12,0.042,571040
13,0.005,405827
14,0.013,491878
15,0.003,444617
16,0.008,389903
17,0.003,443167
18,0.028,360070
19,111.765,412824
20,0.008,377682
21,0.005,379651
22,0.009,365498
23,0.003,335313
24,0.006,330631
25,0.017,354077
26,0.003,338421
27,0.009,320786
28,0.004,135892
29,0.170,326391
30,0.004,276045
31,12.005,323322
32,0.001,217644
33,0.004,268569
34,0.004,286758
35,0.012,293468
36,32.839,295317
37,127.198,295294
38,82.120,294396
39,0.002,283603
40,11.748,277299
41,0.025,185103
42,34.234,274192
43,0.005,250388
44,11.617,270848
45,131.865,269954
46,88.440,268782
47,0.003,259430
48,0.009,266615
49,0.012,250101
50,0.005,244074
51,0.010,229030
52,0.011,215578
53,0.021,234194
54,10.361,256097
55,0.023,242831
56,35.877,250641
57,0.012,238389
58,0.011,241141
59,34.946,243198
60,0.010,224414
61,0.198,237894
62,0.002,217731
63,12.343,227742
64,31.434,227689
65,0.027,210529
66,0.010,205999
67,0.010,210870
68,33.567,223544
69,12.154,221015
70,0.163,185149
71,0.030,208335
72,0.017,192808
73,0.005,186239
74,9.737,212624
75,38.772,212488
76,9.723,211561
77,0.088,210689
78,95.074,209573
79,11.859,209126
80,11.704,206239
81,11.320,205412
82,0.007,169846
83,0.369,201998
84,0.010,175390
85,30.089,199179
86,0.010,169962
87,0.021,154904
88,0.157,188808
89,0.026,159951
90,0.023,156769
91,0.013,57205
92,0.012,160018
93,0.020,172410
94,0.022,165684
95,0.007,178098
96,0.010,174939
97,0.005,165268
98,32.055,179293
99,0.009,152577
100,13.386,177148
101,0.000,171042
102,39.704,174941
103,0.004,141987
104,0.023,157291
105,11.482,172385
106,0.010,160259
107,0.013,54955
108,0.031,163706
109,0.025,115114
110,11.800,166717
111,11.007,165812
112,0.005,146399
113,95.417,161825
114,10.486,161660
115,0.086,155388
116,21.344,160567
