GeneID,ftype,gene,EC_number,product,locus_tag,function,BRO_1_ANAMMOX,BRO_2_ANAMMOX,BRO_1_SP_ELECTRODE,BRO_2_SP_ELECTRODE,,GeneID
PROKKA_110396,CDS,,,hypothetical protein,,,102,176,81,130,,PROKKA_110396_CDS___hypothetical protein__
PROKKA_110397,CDS,,,hypothetical protein,,,359,570,200,226,,PROKKA_110397_CDS___hypothetical protein__
PROKKA_110398,CDS,,,hypothetical protein,,,304,497,175,366,,PROKKA_110398_CDS___hypothetical protein__
PROKKA_110399,CDS,,,transposase,SCALIN_C11_0084,,368,621,235,313,,PROKKA_110399_CDS___transposase_SCALIN_C11_0084_
PROKKA_110400,tmRNA,ssrA,,"transfer-messenger RNA, SsrA",,,287957,905566,1312554,428304,,"PROKKA_110400_tmRNA_ssrA__transfer-messenger RNA, SsrA__"
PROKKA_110401,CDS,,,hypothetical protein,,,2459,4819,4248,8564,,PROKKA_110401_CDS___hypothetical protein__
PROKKA_110402,CDS,,,cation/multidrug efflux pump,BROSI_A2246,,80,102,22,91,,PROKKA_110402_CDS___cation/multidrug efflux pump_BROSI_A2246_
PROKKA_110403,CDS,,,serine protease Do,BROSI_A2245,,823,1350,275,422,,PROKKA_110403_CDS___serine protease Do_BROSI_A2245_
PROKKA_110404,CDS,,,cellulase,BROSI_A2244,,111,220,66,133,,PROKKA_110404_CDS___cellulase_BROSI_A2244_
PROKKA_110405,CDS,bepA_51,3.4.-.-,Beta-barrel assembly-enhancing protease,,,244,332,49,74,,PROKKA_110405_CDS_bepA_51_3.4.-.-_Beta-barrel assembly-enhancing protease__
PROKKA_110406,CDS,,,glycosyltransferases,BROSI_A2238,cell wall biogenesis,55,59,33,95,,PROKKA_110406_CDS___glycosyltransferases_BROSI_A2238_cell wall biogenesis
PROKKA_125210,CDS,,,ABC transporter,BROSI_A2800,,1021,2115,937,912,,PROKKA_125210_CDS___ABC transporter_BROSI_A2800_
PROKKA_125211,CDS,,,formate dehydrogenase alpha subunit,BROSI_A2794,,3271,5826,1321,1515,,PROKKA_125211_CDS___formate dehydrogenase alpha subunit_BROSI_A2794_
PROKKA_125212,CDS,,,phosphoribosylformylglycinamidine synthase,BROSI_A2792,,705,1490,109,109,,PROKKA_125212_CDS___phosphoribosylformylglycinamidine synthase_BROSI_A2792_
PROKKA_125213,CDS,,,NADH dehydrogenase I,BROSI_A2791,,153,197,12,33,,PROKKA_125213_CDS___NADH dehydrogenase I_BROSI_A2791_
PROKKA_125214,CDS,,,respiratory-chain NADH dehydrogenase,BROSI_A2788,,1105,2246,290,319,,PROKKA_125214_CDS___respiratory-chain NADH dehydrogenase_BROSI_A2788_
PROKKA_125215,CDS,,,hypothetical protein,,,443,688,443,625,,PROKKA_125215_CDS___hypothetical protein__
PROKKA_138235,CDS,narG_23,,nitrate reductase subunit alpha,BROSI_A0941,nitrate dissimilation,433,903,208,168,,PROKKA_138235_CDS_narG_23__nitrate reductase subunit alpha_BROSI_A0941_nitrate dissimilation
PROKKA_138236,CDS,,,hypothetical protein,,,15,6,3,17,,PROKKA_138236_CDS___hypothetical protein__
PROKKA_138237,CDS,,,TetR family transcriptional regulator,BROSI_A3817,,79,116,21,33,,PROKKA_138237_CDS___TetR family transcriptional regulator_BROSI_A3817_
PROKKA_138238,CDS,,,hypothetical protein,,,29,35,29,61,,PROKKA_138238_CDS___hypothetical protein__
PROKKA_138239,CDS,,,hypothetical protein,,,3599,5863,337,739,,PROKKA_138239_CDS___hypothetical protein__
PROKKA_15174,CDS,,,hydroxylamine oxidase,BROSI_A2677,,7199,11383,4044,2967,,PROKKA_15174_CDS___hydroxylamine oxidase_BROSI_A2677_
PROKKA_15175,CDS,,,tryptophan synthase beta chain,BROSI_A2678,,616,1070,79,92,,PROKKA_15175_CDS___tryptophan synthase beta chain_BROSI_A2678_
PROKKA_15176,CDS,,,tryptophan synthase alpha chain,BROSI_A2679,,180,310,25,34,,PROKKA_15176_CDS___tryptophan synthase alpha chain_BROSI_A2679_
PROKKA_15177,CDS,,,hydroxylamine oxydoreductase,BROSI_A2680,,33632,63452,31395,25770,,PROKKA_15177_CDS___hydroxylamine oxydoreductase_BROSI_A2680_
PROKKA_15178,CDS,,,TPR repeat-containing protein,BROSI_A2681,,292,454,177,596,,PROKKA_15178_CDS___TPR repeat-containing protein_BROSI_A2681_
PROKKA_15179,CDS,,,TPR repeat-containing protein,BROSI_A2682,,161,292,55,81,,PROKKA_15179_CDS___TPR repeat-containing protein_BROSI_A2682_
PROKKA_15180,CDS,,,hypothetical protein,,,986,1702,200,319,,PROKKA_15180_CDS___hypothetical protein__
PROKKA_15181,CDS,,,integrase catalytic region,BROSI_A2684,,358,527,114,349,,PROKKA_15181_CDS___integrase catalytic region_BROSI_A2684_
PROKKA_15182,CDS,,,multihaem cytochrome,BROSI_A2685,,1789,2891,357,419,,PROKKA_15182_CDS___multihaem cytochrome_BROSI_A2685_
PROKKA_15183,CDS,,,aconitate hydratase1,BROSI_A2686,,143,236,106,126,,PROKKA_15183_CDS___aconitate hydratase1_BROSI_A2686_
